phase,lgLbb,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_uncr,Tbb_uncl,Rbb,Rbb_uncr,Rbb_uncl
1.0,42.89,0.14,0.09,14060.0,2730.0,1770.0,7570.0,1360.0,1350.0
2.0,42.66,0.13,0.08,12280.0,2630.0,1640.0,7620.0,1660.0,1600.0
4.0,42.83,0.02,0.02,9370.0,380.0,340.0,15930.0,970.0,920.0
5.0,44.01,1.14,0.58,30410.0,48710.0,12910.0,5850.0,3190.0,2630.0
6.0,43.79,0.63,0.35,28570.0,21840.0,8670.0,5200.0,1940.0,1750.0
7.0,42.9,0.01,0.01,8810.0,270.0,240.0,19540.0,930.0,950.0
8.0,42.83,0.01,0.01,7020.0,370.0,340.0,28390.0,2670.0,2420.0
9.0,42.87,0.01,0.01,7910.0,240.0,220.0,23440.0,1230.0,1200.0
10.0,42.9,0.01,0.01,8270.0,210.0,200.0,22210.0,950.0,930.0
27.0,42.54,0.05,0.05,4220.0,230.0,220.0,56230.0,9810.0,7990.0
28.0,42.42,0.06,0.06,4440.0,340.0,320.0,44030.0,10670.0,8190.0
31.0,42.54,0.05,0.05,3950.0,190.0,190.0,64540.0,10680.0,8720.0
32.0,42.34,0.06,0.04,4620.0,420.0,390.0,37210.0,10210.0,7310.0
34.0,42.23,0.19,0.11,5090.0,1850.0,930.0,26890.0,23640.0,14320.0
36.0,42.09,0.14,0.06,6500.0,2900.0,1610.0,13540.0,14480.0,6860.0
42.0,42.18,0.09,0.08,3940.0,440.0,410.0,42580.0,15830.0,10860.0
44.0,42.25,0.27,0.14,3930.0,910.0,830.0,46370.0,55290.0,20200.0
46.0,42.14,0.19,0.12,4330.0,960.0,800.0,33500.0,28890.0,13710.0
48.0,42.63,0.73,0.45,3410.0,8610.0,1230.0,68970.0,341220.0,62750.0
53.0,42.04,0.08,0.08,4780.0,860.0,770.0,24340.0,12440.0,7600.0
57.0,42.02,0.11,0.09,4030.0,590.0,540.0,33890.0,17180.0,10300.0
69.0,41.72,0.26,0.14,4400.0,1430.0,1030.0,20010.0,26280.0,10210.0
117.0,41.55,0.13,0.09,5940.0,2500.0,1610.0,8480.0,9550.0,4070.0
119.0,41.56,1.33,0.14,9330.0,33440.0,3760.0,3570.0,5430.0,2750.0
